archivo,Accuracy,F1 Score,Precision,Recall
modelo_cnn_100x,0.7638190954773869,0.7670332679493761,0.7721718962706509,0.7638190954773869
modelo_cnn_100x_aug,0.8241545893719807,0.822356817080329,0.8213900829477746,0.8241545893719807
modelo_cnn_200x,0.8140703517587939,0.8073935297859798,0.8089597648104468,0.8140703517587939
modelo_cnn_200x_aug,0.8238805970149253,0.8224619616911887,0.8215665403091532,0.8238805970149253
modelo_cnn_400x,0.8140703517587939,0.8000994404298052,0.8149964566421852,0.8140703517587939
modelo_cnn_400x_aug,0.8298342541436464,0.8130111105702533,0.8476013291574579,0.8298342541436464
modelo_cnn_40x,0.8140703517587939,0.8000994404298052,0.8149964566421852,0.8140703517587939
modelo_cnn_40x_aug,0.7869346733668342,0.7666203549659221,0.7860524991851329,0.7869346733668342
modelo_cnn_all,0.8241206030150754,0.809266426045976,0.830408297744981,0.8241206030150754
modelo_cnn_all_aug,0.800761421319797,0.7852287804011429,0.7995246758569731,0.800761421319797
modelo_knn_100x,0.8985507246376812,0.9292929292929292,0.8961038961038961,0.965034965034965
modelo_knn_200x,0.8805970149253731,0.9124087591240876,0.925925925925926,0.8992805755395683
modelo_knn_400x,0.8950276243093923,0.923694779116466,0.9126984126984128,0.934959349593496
modelo_knn_40x,0.9045226130653268,0.9304029304029304,0.9338235294117648,0.927007299270073
modelo_knn_all,0.9010152284263959,0.9293478260869565,0.9128113879003559,0.9464944649446494
